Id,company,description,link,location,search_city,title
0,"Atlas Air, Inc.","Overview
Provide strategic design and maintenance of business intelligence applications. Identifies, researches, and resolves technical problems. Ensures that the use of business intelligence applications enhance business decision making capabilities.
Responsibilities
Design, build, test and maintain scalable and stable off the shelf application or custom built technology solutions to meet business needs
Design and develop highly visual, interactive, and layered Business Intelligence solutions using Tableau and Business Objects.
Responsible for data preparation, data blending, the creation of data models /sets using various applications including ‘app’ development.
Develop production reports originating from the Data Warehouse to be used by the business for ongoing analytical and strategic operation plans.
Triage requests, gather user requirements and facilitate ad hoc report and data requests with a quick turn-around.
Define and document processes, best practices, and strategies for existing and future BI solutions, optimizing business efficiencies as it relates to process improvement.
Leverage extensive datasets and various statistical software applications to develop and execute strategic quantitative analysis
Investigate and report on complex data interactions to help identify and address our clients’ key strategic business opportunities
Act as a liaison between business users, management and application system IT support.
Interface with Data Warehouse and Architectural staff to provide data requirements to support ongoing BI initiative.
Perform other job related functions as assigned.
Qualifications
Bachelor's degree in Arts or Science, with emphasis in computer science, communication, economics, data analytics or a related field.
Masters in Computer Science a plus.
Must possess advanced background in Microsoft Office and advanced Excel.
Technical knowledge in T-SQL or PL/SQL programming languages
Experience with Tableau and Business Objects
Excellent database skills
Excellent problem solving, quantitative and analytical skills
In depth technical knowledge and ability to learn new technologies
Project management, scheduling and planning
Team player, excellent communication skills
Must be able to interact with senior management and collect requirements
Must be able to lead a team, use judgment and operate under ambiguity
Motivated, self-starter, strong work ethic
Strong written and oral communication skills.",http://www.indeed.com//rc/clk?jk=d3e4bb1f8346749f&fccid=8d1f0c6fbf5b4c47&vjs=3,New York State,New York,Business Intelligence Analyst
1,Insider Inc.,"We’re hiring summer research interns to join our team at Business Insider Intelligence.

The ideal Research Intern will have a deep interest in the tech industry, an excellent academic record, solid writing and analytical skills, and an entrepreneurial attitude.

BI Intelligence is a fast-growing research service from Business Insider. We offer insights essential to companies making strategic decisions across the mobile, digital media, e-commerce, Internet of Things, payments, and digital financial services industries. Our clients are Fortune 1000 companies, startups, advertising agencies, investment firms, and media conglomerates that have come to rely on our timely, forward-looking insights to keep atop of trends shaping the digital landscape.

What’s the job?

We're looking for candidates who have graduated university/college. The Research Intern will complete an 8-week program starting in June, which will enhance his/her knowledge of the digital landscape, grow his/her writing and analysis skills, and will culminate in a group project analyzing a top digital trend.

Interns will work closely with our analyst teams, including Apps and Platforms, Internet of Things, Digital Media, Payments, E-Commerce, and Fintech, and be assigned a mentor, who will guide their progress.

Daily and weekly projects will vary, but may include:

Writing analytically on trends in the industry
Working with and analyzing data, and creating charts and data visualizations
Working on a group research project
Spending time with your mentor to discuss the digital industry
This is a great opportunity to get immersed in the fast-paced disruption happening across industries, grow your writing, Excel, graphics, and communication skills, and learn about the research industry. This is also an opportunity to potentially have your work published.

Ideal candidates will have:

An entrepreneurial attitude
Willingness to go the extra mile
Diligence and persistence in researching
Ability to work in a team-oriented, fast-paced, and fast-changing environment
Attention to detail
Strong communication and writing skills
An interest in data-driven visual storytelling
Experience using MS Excel/PowerPoint

Those studying social science — including psychology, economics, sociology, and politics — and those with a strong background distilling data, research, and technical topics into compelling writing and persuasive analysis are encouraged to apply. Internships in market/consumer research, consulting, tech research, or relevant experience in a similar position are helpful but not required.

If this is the right opportunity for you, please apply online and tell us why you're a good fit for the role.",http://www.indeed.com//rc/clk?jk=d2adc6734cd7680a&fccid=4c6b2574d9c833e4&vjs=3,"New York, NY 10016",New York,Research Intern
2,Phreesia,"---------

The Role:
---------

Phreesia’s patient messaging platform delivers targeted and meaningful digital messaging to tens of millions of patients each year. We are looking for a Data Analyst to join our growing Analytics Team; someone who is smart, eager to learn, and has extraordinary technical and analytical skills.

Do you love breaking down and analyzing complex data sources?

Are you talented at forecasting and putting together reporting packages?

Does the healthcare industry excite and motivate you?

You will be joining a team of especially smart, humorous, quick-witted, and dedicated coworkers, all passionate about data and healthcare. You will be responsible for the operation and optimization of our patient messaging platform, as well as analysis of the messaging network, forecasting of inventory, and reporting on performance of campaigns. Above all else, you should love solving problems and be committed to constant improvement, both of yourself and those around you.

---------

You will:
---------


Monitor and analyze campaign metrics to ensure proper delivery
Manage various aspects of configuration, deployment, and testing for ad products
Identify and diagnose issues with message delivery
Assist in modelling and forecasting of inventory
Analyze available data sources to continually improve and optimize targeting and delivery of messaging
Provide monthly reporting packages to key partners internally and externally
Capture and synthesize performance data from customers to develop metrics and key performance indicators

-------------------

What you will need:
-------------------


Bachelor’s degree or higher in Mathematics, Statistics, Computer Science, Economics or a related field
Superior analytical and problem-solving abilities
Professional and expert level experience with SQL
Ability to organize and present complex data in a way that tells a compelling story and drives decision making
Keen intuition about data analysis, the ability to distinguish what matters from what doesn't, and a thorough understanding of the ways in which data can mislead
Excellent interpersonal skills, both written and verbal
Ability to lead multiple projects in a dynamic, resourceful environment
Ability to work collaboratively with cross-functional teams at varying levels
Attention to detail
Bonus points for healthcare experience and a basic understanding of clinical terms
Experience with scripting or statistical languages like VBA, Python, Javascript, or R a plus
Experience in Ad Operations and digital media a plus

We strive to provide a diverse and inclusive environment and are an equal opportunity employer.",http://www.indeed.com//rc/clk?jk=1cf32b215d8777a3&fccid=ba70b621d4301067&vjs=3,New York State,New York,Data Analyst
3,Acacia Technical Services,"Title: Data Analyst
Location either NYC or Paramus, NJ - must be available to work in either location
Job Definition:
A Data Analyst applies analysis and design techniques to address business needs in order to produce data extracts, data feeds and reports for analytical applications that enable users to access and analyze data in the data warehouse and report applications.
Develops business requirements and data rules to understand application data.
Duties and Responsibilities
Consult with project team and business liaison to identify and analyze needs.
Attend fact-gathering sessions (when applicable), analyze and solve problems with some assistance
Develops business oriented data dictionaries.
Profiles the data to measure quality and integrity of the data collected.
Develop systems specifications based on business rules, specifications and process flows
Develop data flow, application and ER diagrams and technical specifications
Implement tools, scripts, queries or applications for accessing and analyzing data and associated metadata.
Write technical specifications for ETL processes or components.
Develop production migration steps and documentation
Perform unit and system integration testing.
Design and develop training for end users
Skills and Experience Required
MUST HAVE Property and Casualty Insurance Experience- Commercial Lines.
College degree in computer science, information systems, or computer engineering or equivalent business experience.
Certifications in Microsoft Certified Technical Specialist and/ or Microsoft Certified Professional Developer Experience in designing and architecting database systems.
Experience in using and querying RDBMS systems, including SQL Server 2005/2008 In depth knowledge of applicable data privacy practices and laws.
Excellent understanding of the organization goals and objectives.
Highly self motivated, Keen attention to detail, Ability to effectively prioritize and execute tasks in a high pressure environment.
Proven analytical, evaluative and problem solving abilities.
Extensive experience working in a team oriented, collaborative environment.
Exception customer service orientation.
Good understanding of project management principles.
Experience with data modeling tools.
Excellent written and oral communication skills, Ability to conduct and direct research into IT issues and products as required.
Key Deliverables
Finalized data business rules documents
Data dictionaries
Business metadata definitions and
Data access methodology
End user training sessions
Documentation of process, including configuration and security
Timely change management documentation",http://www.indeed.com//rc/clk?jk=f9bc2efbe1dfb80f&fccid=bba704c62f81e034&vjs=3,New York State,New York,Data Analyst
4,The Safe Center LI,"Assist in generating client and service statistics from an in-house database system.

Qualifications
Knowledge of Microsoft Excel and some Transact SQL helpful, or the ability and willingness to learn

Other Information
14-22 hours/weekUp to $25/hour, depending on qualificationsFlexible Hours on site in Bethpage, NYCollege students and those re-entering the work force part time welcome to apply

To Apply
Send resume and cover letter to arubin@tscli.org",http://www.indeed.com//rc/clk?jk=59af0bd217ef424a&fccid=b8cc6d8dbcfb9057&vjs=3,"Bethpage, NY",New York,Data and Report Analyst
5,BI and Risk Analytics,"The data management specialist will be working with IBM Data Governance products, specifically:IBM Information Governance CatalogueIBM InfoSphere Information Analyzer2-3 years of experience in financial data analysis, gap analysis, implementing data flows and data lineageStrong communication skills needed: ability to explain analysisPerform data analysis where requirements may need to be derived from available documentation, interviews with users, and file specifications/samplesUnderstand and facilitate team understanding of data flow across business applications and interfacesAssist with the definition, documentation, maintenance, implementation and compliance of data business definitions, standards, quality rules and methodsDevelop, document and maintain metadata for a multi-phase development projects.Perform data analysis activities including data profiling, creation of data dictionaries, data transformation rules and integration requirements.Job Type: ContractSalary: $65.00 to $70.00 /hourExperience:Data Analysis: 5 yearsLocation:New York, NYRequired work authorization:United States",http://www.indeed.com//company/BI-and-Risk-Analytics/jobs/Data-Business-Analyst-c43473ffd9bbdfe0?fccid=8d515a8641fa0571&vjs=3,"New York, NY",New York,Data and Business Analyst
6,Peloton,"ABOUT THE ROLE

As a Data Analyst, you will lead data collection, analysis, and reporting projects across multiple functional groups, as a member of our Business Intelligence team.

RESPONSIBILITIES


Define and align KPIs across multiple functional groups (marketing, product, technology) and business objectives (acquisition, sales, engagement, retention)
Compile and reconcile data from multiple sources
Identify gaps in our data collection and collaborate with product and engineering on data capture specifications
Define and create reporting dashboards
Develop a vision to extend/improve our existing analytics and reporting technology stack
Stay up to date with the latest technologies and trends in analytics

REQUIREMENTS


3-5 years work experience in analytics or business intelligence capacity
Strong understanding of best practices around ecommerce and subscription retention KPIs
Hands-on experience with reporting and data visualization tools such as Looker, Tableau, Geckoboard, etc.
High level of proficiency in Excel and SQL
In-depth knowledge of the strengths and limitations of various analytics tools (Google Analytics, Mixpanel, etc.) to understand how those tools can complement our in-house analytics reports. You should know when not to reinvent the wheel on reports that can be easily created using external tools.

IDEAL SKILLS


Proficiency in developing engaging Keynote/Powerpoint presentations
Experience with statistical modeling using R/Python

",http://www.indeed.com//rc/clk?jk=fdb2c64879731caa&fccid=8899ecbdba2d0a5e&vjs=3,"New York, NY",New York,Data Analyst
7,The New York Times,"The New York Times is seeking a Data Analyst to join the Optimization team within our growing Data & Insight Group, which is responsible for data analytics, data science and data engineering for all New York Times offerings, including the newspaper and NYTimes.com .

The successful candidate will become a key partner to the customer product team as The Times continually innovates, iterates and launches new products.

The Data Analyst will help define and track key performance indicators for products, and generate insights about how our audiences consume Times content across platforms (web, phone, tablet) to inform future product development and optimization.

The successful candidate will be able to deliver A/B and multivariate experiment designs and strategies, design and automate reports, implement digital analytics tagging, master exploratory analysis and insight, all in close collaboration with partners in data analytics, data science and engineering teams.

The Data Analyst will support the audience growth and engagement strategy on NYTimes.com , exploring how to reach more readers, convert first time visitors into repeat visitors, heavy users and ultimately into paid subscribers.

Responsibilities:
Liaise with internal business stakeholders to understand their objectives, challenges and opportunities.
Use observation and analysis to recommend iterative improvements to site design, and partner with product managers on the end-to-end process of test design, implementation and analysis
Use exploratory analysis to deeply understand the New York Times audience and their behavior across products and platforms
Design, build and automate dashboards and reports
Influence internal stakeholders at all levels of the organization to take action based on insights generated to seize business opportunities
Document and communicate findings and insights to stakeholders across the company, including senior executives

Requirements:
Experience in providing analytics to inform new product development and iteration
2+ years of relevant experience working in web / digital / mobile / social / SEO analytics or in web-based businesses.
2+ years work experience using SQL is required.
1+ years work experience implementing and reporting on web analytic platform (i.e., Google Analytics, Crowd Tangle, NewsWhip, Facebook Insights, etc).
Experience in applying multivariate statistics, including logistic regression modeling, to business problems or market research.
Experience with defining, implementing and analyzing A/B and multivariate experiments
Ability to think strategically, analyze and interpret market and consumer information.
Strong communication and presentation skills – written, visual, and verbal presentations.
Excellent conceptual and analytical reasoning competencies.
Additional programming languages (e.g. Python) are preferred.
Degree in an analytical field such as economics, mathematics, or computer science is desired. MBA is a plus.
Comfortable working in a fast-paced and highly collaborative environment.
Strong communication and interpersonal skills, and ability to work seamlessly with a cross-functional team of analysts, technologists, marketers and product managers.
A top-notch sense of humor.
#LI-FS1

If you are an active employee at The New York Times or any affiliates, please do not apply here. Go to the Career Worklet on your Workday home page and View ""Find Internal Jobs"". Thank you!

The New York Times Company is an Equal Opportunity Employer and does not discriminate on the basis of an individual's sex, age, race, color, creed, national origin, alienage, religion, marital status, pregnancy, sexual orientation or affectional preference, gender identity and expression, disability, genetic trait or predisposition, carrier status, citizenship, veteran or military status and other personal characteristics protected by law. All applications will receive consideration for employment without regard to legally protected characteristics.",http://www.indeed.com//rc/clk?jk=9490bd919be4a346&fccid=1b50fcfb150b1b48&vjs=3,"New York, NY",New York,"Data Analyst, Optimization"
8,The New York Times,"About the position:
Wirecutter is seeking a Data Analyst to join our small-but-growing Finance and Data group. The data team is responsible for data analytics, data engineering, and data science for TheWirecutter.com. This is an interdisciplinary role that works with stakeholders across the company, including senior leadership.

Why you should apply:
We’re pioneering a new type of service journalism and if you’re savvy and experienced in web analytics, ecommerce, affiliate marketing or any combination of the above you will have a unique opportunity to help shape how we improve our readers’ lives. As the Data Analyst, you will play a key role in helping us understand our readers and informing the direction of our business by defining, monitoring and analyzing essential web analytics and business metrics and communicating appropriate findings with recommended actions to stakeholders.

About Wirecutter:
Founded by journalists fed up with the time and energy it takes to shop, Wirecutter developed a simpler approach to giving buying advice: just tell people exactly what to get in one single guide. The company’s purpose: to help people find great things, quickly and easily. Through rigorous testing, research, reporting, and whatever means necessary, they create straightforward recommendations that save readers from unnecessary stress, time, and effort. We then monetize these guides by enabling our readers to easily purchase the products they are interested in.

Locations:
Even with offices in New York City and Los Angeles, Wirecutter remains a highly remote culture, and open to employing people across the country (and in Canada!). Right now, we are eligible to hire in CA, CT, CO, DC, FL, GA, IL, MA, ME, MI, MN, NV, NY, NC, OR, PA, TX, VA, HI, NH, MO, WA . If you live outside of these states but are still interested in working with Wirecutter, you are welcome to apply, and we will keep your information on file for future opportunities.

Responsibilities:
Maintain ongoing reporting that paints a picture of the “pulse” of our business
Proactively analyze data to answer key questions from stakeholders or out of self-initiated curiosity with an eye for what drives business performance
Ability to understand the business operations as a whole and translate questions into effective analysis based on the goals behind the specific asks
Communicate findings effectively and translate them into recommended actions appropriate for each area of the business
Design and build automated reporting dashboards on our BI platform

Qualifications:
Excellent verbal and written communication skills
Comfortable deconstructing complex and open-ended problems which may not yield a clear cut solution
Ability to work independently and to carry out assignments to completion based on the original goals with minimal supervision
4-year degree in statistics or related field
3+ years of experience in a data analyst role at an affiliate marketing, e-commerce company, or online publisher
3+ years of experience using SQL is required
1+ year of experience designing and building automated reporting dashboards with a data visualization tool such as Tableau or similar
Proficient with statistical analysis tools such as R or similar
Google Analytics certification or equivalent experience
Demonstrated ability to work collaboratively in a multi-disciplinary team
Strong interest in Wirecutter’s mission

Culture and benefits at The New York Times Company and Wirecutter:
Though Wirecutter has physical locations in both NYC and LA, the company promotes and encourages a remote workforce, so that our employees can work in flexible and comfortable ways.
We are committed to career development, supported by a formal mentoring program as well as tuition reimbursement. The New York Times Company offers frequent panel discussions and talks by industry leaders (Sheryl Sandberg, Melinda Gates and Ta-Nehisi Coates are a few recent examples), that we encourage our employees to attend.
We believe diversity fuels innovation and creativity, and we have a variety of employee groups and task forces across The New York Times Company and Wirecutter dedicated to fostering a diverse and inclusive workplace.
We offer a generous parental leave policy, which was recently expanded in response to employee feedback. Birth mothers receive 16 weeks fully paid, adoptive parents and birth fathers receive 10 weeks also fully paid. Similarly, we offer competitive health and dental insurance, as well as 401k matching.
#LI-HK1

If you are an active employee at The New York Times or any affiliates, please do not apply here. Go to the Career Worklet on your Workday home page and View ""Find Internal Jobs"". Thank you!

The New York Times Company is an Equal Opportunity Employer and does not discriminate on the basis of an individual's sex, age, race, color, creed, national origin, alienage, religion, marital status, pregnancy, sexual orientation or affectional preference, gender identity and expression, disability, genetic trait or predisposition, carrier status, citizenship, veteran or military status and other personal characteristics protected by law. All applications will receive consideration for employment without regard to legally protected characteristics.",http://www.indeed.com//rc/clk?jk=2f4ab0a8ac3e0eba&fccid=1b50fcfb150b1b48&vjs=3,"New York, NY",New York,Data Analyst
9,AppNexus,"Data Analysts are the creative thought leaders responsible for leveraging data to maximize performance for our most strategic clients and our product as a whole. We partner closely with the Account Management, Services, Product, Data Science, and Engineering teams to study client and product performance data, identify areas for improvement, and implement enhancements to drive success on our platform. Our team is focused on tool-building and teaching others so that we can scale analytical capabilities across AppNexus. This role is perfect for someone who has a quantitatively-oriented degree, commercial work experience, a passion for mathematics, analytics, coding, and a strong desire to use data to inspire success for our customers.

About the team:
The core mission of the Analytics organization is to drive strategy and execution across the company using data to inform and empower our partners. Whether we’re working with client-facing field teams or internal decision makers, we aim to meet any reporting, analytics, visualization and story-telling needs they may have. Beyond our data capabilities, our team acts as consultants for our partners, breaking down every request to ensure that the analytical insights we’re providing will truly help achieve our partners’ goals. Our toolkit includes elements of theory – probability models, statistics, machine learning, game theory – as well as practical tools and techniques for manipulating and exploring vast quantities of data. Depending on the exact role, we work closely with Production Engineers, Product Managers, Operations, Account Managers, Services, Marketing, and sometimes directly with clients to create novel features, systems, and analyses. We love that our contributions further AppNexus’ position as a pioneer and thought-leader in the AdTech industry, but at the end of the day, we measure our efforts based on the impact and value we create for our clients and internal teammates.

About the job:

Become an expert in Real Time Bidding (RTB), marketplace dynamics, optimization & yield management, and data visualization
Leverage creative problem solving and technical skills to tackle new, never-before-solved problems as they arise
Partner with internal teammates and our largest clients to provide Return on Investment (ROI)-focused insights and recommendations
Work alongside Data Science, Product and Engineering teams to roll out and monitor success of new algorithms and product lines
Develop new software, database and computer language capabilities and teach them to others to expand the technical skillset of our team (and our company as a whole)
Help build our Analytics practice by developing training materials, customer facing assets and internal resources

About your skills and experience:

3-6 years of relevant analytics work experience and a quantitatively-oriented degree
Experience compiling, manipulating, and gleaning insights from extremely large datasets in a fast-paced, entrepreneurial and fluid start-up environment
Strong analytical and problem-solving skills with a demonstrable passion to impose structure on seemingly undefined problems, dig into terabytes of data, and quickly construct tools
Experience with data visualization and using data to tell a story
Mastery of MS Excel; experience with relational databases, SQL and Python (NumPy, SciPy, Pandas)
1-2 years of experience leading projects from initial scoping phase to completion, including presenting insights and making recommendations to senior-level clients or stakeholders
Outstanding organization and presentation skills
Strong written and verbal communication skills

More about you:

You are passionate about a culture of learning and teaching. You love challenging yourself to constantly improve and sharing your knowledge to empower others.
You like to take risks when looking for novel solutions to complex problems. If faced with roadblocks, you continue to reach higher to make greatness happen.
You care about solving big, systemic problems. You look beyond the surface to understand root causes so that you can build long-term solutions for the whole ecosystem.
You believe in not only serving customers, but also empowering them by providing them with knowledge and tools.

Learn. Teach. Build.

AppNexians make greatness happen

Join our community

AppNexus is proud to offer equal opportunity in all aspects of employment. We strive to foster a diverse, inclusive and engaging work environment. We welcome applications from all candidates and look forward to receiving yours. Our diversity in action:


Partnering with Path Forward to offer returnships to help caregivers reenter the workforce
Sharing feedback openly through roundtable discussions on how to make progress on our Diversity & Inclusion goals
Celebrating our diversity with affinity groups (including OutNexus, AppNexus Women’s Network, AppNexus Latino Alliance and BlackNexus to name just a few!)

",http://www.indeed.com//rc/clk?jk=5f3ebd974ea69c14&fccid=c78d5b25b63aec9b&vjs=3,"New York, NY 10010",New York,Data Analyst
