Id,Title,Company,Location,Description,Search_City,Link
1,Data Analyst,Acacia Technical Services,New York State,"Title: Data Analyst
Location either NYC or Paramus, NJ - must be available to work in either location
Job Definition:
A Data Analyst applies analysis and design techniques to address business needs in order to produce data extracts, data feeds and reports for analytical applications that enable users to access and analyze data in the data warehouse and report applications.
Develops business requirements and data rules to understand application data.
Duties and Responsibilities
Consult with project team and business liaison to identify and analyze needs.
Attend fact-gathering sessions (when applicable), analyze and solve problems with some assistance
Develops business oriented data dictionaries.
Profiles the data to measure quality and integrity of the data collected.
Develop systems specifications based on business rules, specifications and process flows
Develop data flow, application and ER diagrams and technical specifications
Implement tools, scripts, queries or applications for accessing and analyzing data and associated metadata.
Write technical specifications for ETL processes or components.
Develop production migration steps and documentation
Perform unit and system integration testing.
Design and develop training for end users
Skills and Experience Required
MUST HAVE Property and Casualty Insurance Experience- Commercial Lines.
College degree in computer science, information systems, or computer engineering or equivalent business experience.
Certifications in Microsoft Certified Technical Specialist and/ or Microsoft Certified Professional Developer Experience in designing and architecting database systems.
Experience in using and querying RDBMS systems, including SQL Server 2005/2008 In depth knowledge of applicable data privacy practices and laws.
Excellent understanding of the organization goals and objectives.
Highly self motivated, Keen attention to detail, Ability to effectively prioritize and execute tasks in a high pressure environment.
Proven analytical, evaluative and problem solving abilities.
Extensive experience working in a team oriented, collaborative environment.
Exception customer service orientation.
Good understanding of project management principles.
Experience with data modeling tools.
Excellent written and oral communication skills, Ability to conduct and direct research into IT issues and products as required.
Key Deliverables
Finalized data business rules documents
Data dictionaries
Business metadata definitions and
Data access methodology
End user training sessions
Documentation of process, including configuration and security
Timely change management documentation",New York,http://www.indeed.com//rc/clk?jk=f9bc2efbe1dfb80f&fccid=bba704c62f81e034&vjs=3
2,,,,,New York,http://www.indeed.com//rc/clk?jk=1c57c8959e16f4dd&fccid=0c39fb2c91742dcf&vjs=3
3,Business Analyst,Karat,"New York, NY","Our mission at Karat

Karat has reengineered technical hiring to ensure that great talent gets noticed by great companies. We augment engineering organizations by conducting the first-rounds of technical interviews on their behalf, and we use our data analytics platform to make hiring decisions more intelligent and predictive. Our service saves material engineering time and drives a highly responsive and consistent experience for candidates. Karat continuously invests in cutting edge interview methodologies with an aim of reducing bias and letting candidates demonstrate their true ability.

We operate as strategic partners for engineering leaders at the world's leading technology companies including Jet, MuleSoft, Pinterest, Indeed, Roblox, Intuit, Ten-X, Minted and many more. As the gold standard of technical interviewing, our well-funded company is scaling quickly to meet our growing list of client's needs. Come join us!
What you'll work on:
Clean and manipulate large volumes of data for modeling and analysis for internal and external stakeholders
Create, support and maintain data models, reports and dashboards and find creative solutions for our growing data requirements
Become the focal point for all data matters in the organization for ongoing projects and daily ad-hoc requests
Contextualize insights from analysis to drive actionable recommendations for clients and internal operations
Help develop playbooks and processes that the team will use to scale
You are:
Inspired by our mission at Karat.
Have a minimum of 2 years of experience in an Analyst role, working with large data sets and/or complex Excel models.
Ready to approach every problem as an entrepreneur with grit, creativity and persistence.
Analytically minded with a problem-solving aptitude.
Detail-oriented.
Proactive and comfortable taking initiative; self-starter.
Comfortable working in a fast-paced environment.
Proficient in MS Excel and/or R or Python.
We appreciate your interest in the role, and we look forward to learning more about your background!

Statement of Non-Discrimination:

At Karat, we believe that building an inclusive culture is a key driver of our success. In keeping with our beliefs and goals, no employee or applicant will face discrimination or harassment based on: race, color, ancestry, national origin, religion, age, gender, marital/domestic partner status, sexual orientation, gender identity or expression, disability status, or veteran status. Above and beyond discrimination and harassment based on “protected categories,” we also strive to prevent other subtler forms of inappropriate behavior (e.g.,, stereotyping) from ever gaining a foothold in our office. Whether blatant or hidden, barriers to success have no place at Karat.

All your information will be kept confidential according to EEO guidelines.

With thanks to the Level Playing Field Institute for this statement of non-discrimination",New York,http://www.indeed.com//rc/clk?jk=7c7dce2313ee04b2&fccid=2cbb6eb59d67005f&vjs=3
4,DATA ANALYST,SUNY Downstate Medical Center,"Brooklyn, NY","The Data Analyst will consult with University Hospital of Brooklyn upper management to: *Organize and analyze complex and varied healthcare data from relevant sources, using statistical methods to ensure validity of results. Recognize and identify trends or factors essential to optimizing clinical, operational and strategic performance. *Review and evaluate materials such as budgets, staffing estimates, to determine financial and operational impact. *Prepare graphic presentations and summary reports and participate in design and preparation of reports to support upper management strategies. * Prepare Financial Feasibility Analyses: expenses, projected revenues, current financial status; Quality Measures: contribution to the health care delivery system and standard of practice guidelines. *Develop and maintain internal and external data information sources and access in support of the data analysis and reporting requirements for University Hospital of Brooklyn (UHB) and University Physicians of Brooklyn (UPB) including quantitative and qualitative data. *Maintain communications and systems necessary to secure comparative data from external sources including but not limited to UHB, UPB, AAMC and MGMA and other sources. *Prepare routine and ad hoc clinical, qualitative and quantitative analyses of UHB and UPB activity with detailed information of department and physician activity for the purpose of identifying rends to support management strategies. *Perform other related duties as assigned.
DUTIES AND RESPONSIBILITIES ARE NOT LIMITED TO THE ABOVE POSITION DESCRIPTION
Qualifications:

REQUIRED: Bachelor’s degree in Business Management, Engineering, Marketing, Finance, or Science with six (6) years relevant experience. Master’s degree may be substituted for one year of the general experience. Excellent anlaytical skills; strong knowledge of principles and practices of financial PREFERRED: MHA/MS in Hospital Administration, Healthcare Administration or related field.",New York,http://www.indeed.com//rc/clk?jk=ebf54b1b5fe5a196&fccid=ff707404f3ba0ae9&vjs=3
5,Business Intelligence Analyst,Match,"New York, NY","OkCupid is looking to hire a Business Intelligence Analyst!

OkCupid is the best online dating product on Earth! Our iOS and Android apps are some of the highest-rated on the market. Statistically speaking, odds are that someone you know has found a date on OkCupid (seriously, just ask around).

In this role, you will:

Prepare financial trend and data analysis reports for company’s senior management
Develop stories using real data to share with outside media publications and business partnerships
Procure and maintain financial reporting and user engagement data for presentation to internal teams and product decisions
Design and create intuitive yet scalable reports, dashboards and visualizations that business owners can rely on to make business decisions
Creatively automate reporting and extract insights from OkCupid’s performance

We’re looking for:

3+ years’ experience using SQL with any database such as MySQL, PostgreSQL, or MS SQL Server
Experience with the Python programming language preferred
Strong analytical skills and experience with MS Excel
Bachelor’s degree in Mathematics, Computer Science, Economics, Finance, Business, or Engineering related field a plus

What are some perks?


Competitive salary and full benefits, including Medical, Dental, Vision, and 401k
Workstation and tools of your choice
Paid attendance to conferences
Regularly catered lunch and a bomb shelter stockpile of snacks and drinks
Company funded happy hours/events
A sunny office full of incredibly curious and friendly people

OkCupid is an equal opportunity employer. We celebrate diversity and are deeply committed to fostering an inclusive environment for all employees.",New York,http://www.indeed.com//rc/clk?jk=3a367fb87784ebdd&fccid=982a3d755dfb00d5&vjs=3
6,Data Analyst,Phreesia,New York State,"---------

The Role:
---------

Phreesia’s patient messaging platform delivers targeted and meaningful digital messaging to tens of millions of patients each year. We are looking for a Data Analyst to join our growing Analytics Team; someone who is smart, eager to learn, and has extraordinary technical and analytical skills.

Do you love breaking down and analyzing complex data sources?

Are you talented at forecasting and putting together reporting packages?

Does the healthcare industry excite and motivate you?

You will be joining a team of especially smart, humorous, quick-witted, and dedicated coworkers, all passionate about data and healthcare. You will be responsible for the operation and optimization of our patient messaging platform, as well as analysis of the messaging network, forecasting of inventory, and reporting on performance of campaigns. Above all else, you should love solving problems and be committed to constant improvement, both of yourself and those around you.

---------

You will:
---------


Monitor and analyze campaign metrics to ensure proper delivery
Manage various aspects of configuration, deployment, and testing for ad products
Identify and diagnose issues with message delivery
Assist in modelling and forecasting of inventory
Analyze available data sources to continually improve and optimize targeting and delivery of messaging
Provide monthly reporting packages to key partners internally and externally
Capture and synthesize performance data from customers to develop metrics and key performance indicators

-------------------

What you will need:
-------------------


Bachelor’s degree or higher in Mathematics, Statistics, Computer Science, Economics or a related field
Superior analytical and problem-solving abilities
Professional and expert level experience with SQL
Ability to organize and present complex data in a way that tells a compelling story and drives decision making
Keen intuition about data analysis, the ability to distinguish what matters from what doesn't, and a thorough understanding of the ways in which data can mislead
Excellent interpersonal skills, both written and verbal
Ability to lead multiple projects in a dynamic, resourceful environment
Ability to work collaboratively with cross-functional teams at varying levels
Attention to detail
Bonus points for healthcare experience and a basic understanding of clinical terms
Experience with scripting or statistical languages like VBA, Python, Javascript, or R a plus
Experience in Ad Operations and digital media a plus

We strive to provide a diverse and inclusive environment and are an equal opportunity employer.",New York,http://www.indeed.com//rc/clk?jk=1cf32b215d8777a3&fccid=ba70b621d4301067&vjs=3
7,Data Analyst,Undertone,"New York, NY 10173","At Undertone, we sit at the intersection of media, creative and technology. We have formed deep partnerships with the world’s best digital media properties, developed a suite of groundbreaking multi-screen creative formats for brands to leverage, and built technology platforms that underpin every aspect of campaign planning, delivery, optimization and measurement.
Undertone’s Data Management Service (UDMS) is a big data, cloud based data-warehouse, dashboard and reporting environment. Are you a data rock star? Do you want to help enable a data-driven organization? This is your opportunity to join a mission critical team, at an innovative company in an industry just beginning to harness the power of data.
As member of the Undertone’s UDMS Team, the Data Analyst drives value by providing provocative, differentiating analytics and insights. This position will support a wide variety of business intelligence efforts across Undertone while working in a highly collaborative manner within multiple large, cloud-based data sources to identify insights and spearhead our next generation product offerings. Most importantly, you should “love” the data, working with data, finding the nuance that leads to key differentiation for the business and our customers. This is a high visibility analytics and consulting position requiring daily interaction with business users, data scientists, engineers and key stakeholders.
Job Responsibilities:
Work with business teams to understand their analytical needs, including identifying critical metrics and KPIs
Use analytical and problem solving skills to deliver actionable insights to relevant decision makers
Develop rich interactive visualizations integrating various reporting components from multiple data sources
Use SQL, Tableau and other technologies to pull data from different backend systems and product meaningful information and visualizations
Take complicated problems and build simple frameworks
Work directly with users and management to gather requirements, provide status updates, and build good relationships and rapport
Profile and Experience:
A minimum of 3 year of a full time data analytics experience, ideally in an Ad-tech company
A minimum of a Bachelor’s Degree in Engineering, Mathematics, Business, or related field
Expert SQL coding skills against large data sets
Strong analytical skills, including the ability to mine data in order to draw meaningful conclusions
Strong oral and written communications skills
Knowledge of Business Intelligence tools such as Tableau – a plus

Undertone is committed to building a company whose staff reflects the true diversity of our community. Our employees are hired, promoted, and rewarded on the basis of talent, performance, dedication and results. We embrace our diversity and are proud to be an Equal Opportunity Employer that welcomes all candidates without regard to race, creed, color, religion, national origin, alienage or citizenship status, sex, age, sexual orientation, gender identity, marital status, partnership status, ancestry, disability or veteran status.

#KK-LI1",New York,http://www.indeed.com//rc/clk?jk=9e655d9b0c8e1347&fccid=8a1948097c0acf32&vjs=3
8,Analyst,Bank of America,"New York, NY 10022","Job Description:

Business Overview
Merrill Lynch Wealth Management is a leading provider of comprehensive wealth management and investment products and services for individuals, companies, and institutions. Merrill Lynch wealth management is one of the largest businesses of its kind in the world specializing in goals-based wealth management, including planning for retirement, education, legacy, and other life goals through investment advice and guidance.

Merrill Lynch’s financial advisors help clients pursue the life they envision through a one-on-one relationship with an advisor committed to their needs. We believe trust comes from transparency. Our trusted financial advisors are equipped with access to the investment insights of Merrill Lynch coupled with the banking convenience of Bank of America

Description
The Analyst (Registered) is a fully paid or firm paid (exception only), salaried, exempt position on the Financial Advisor Team to further develop and service their client base. The Analyst is responsible for implementing and executing the Optimal Practice Model (OPM) in their specific functional role (i.e. Business Development, Business Management, Relationship Management or Investments). Specific accountabilities for the role may vary depending on the team’s practice. Performance is measured by the FA or FA team, along with OMT, through specific goals, metrics, and behavior related to the execution of the OPM function. The Analyst (Non Registered) is a non-exempt position for a non -licensed hire lacking a license and/or designation, until fully licensed and designation achieved. The Analyst (Registered) is a non-exempt position for licensed employees that are in progress of completing their designation in 12-months.
Analyst - Business Development (Exempt)
Identify target client segment/market niche and establish strong reputation within marketsDevelop and maintain value proposition, marketing plan and branding within chosen marketCreate and follow client acquisition plan, identify activities, specify and track progress towards quantifiable goals.Proactively generate leads and referrals through centers of influence, events, referral alliances, targeted seminars strategic networking, sourcing and introductionsManage client acquisition pipeline through utilization of a pipeline management system (Salesforce) to track prospects, leads and current clients.
Analyst - Business Management (Exempt)
Develop business plan and track progress with quantifiable business and activity goals; and align daily activities with practice metrics, goals and objectivesDefine roles and responsibilities aligned to OPM framework for each practice memberDefine and periodically review client segmentation, minimum account size, pricing, and profitability by comparing revenue and time capacity per client; adjust to ensure clients are in right channelProactively generate leads through active management of the practice’s communication strategies and expensesDrive the overall vision for the practice through leveraging strategic partnerships and developmental opportunities
Analyst - Relationship Management (Exempt)
Define and deliver consistent ongoing c communication and engagement planDiscuss fees charged and rationale regularly, and review platform and pricing on an ongoing basisDeepen client relationships through ongoing profiling and identification of client needs, by creating a robust electronic profile form where information is captured and proactively updated on a regular basisPlan and hold appreciation events and/or seminars and individual social outings to various client segments, and invite clients based on their needs/interests.Leverage partners/specialists to identify opportunities with existing clients reviewing client’s situation with specialists on a regular basisMaintain documentation of all client interactions in Salesforce, making full use of notes, assigned follow-ups, etc.
Analyst - Investments (Exempt)
Define investment philosophy and strategy (e.g., asset allocation, strategic vs. tactical, active vs. passive) and clearly articulate approach to investing that is implemented through a repeatable processManage client portfolio’s using a fully documented investment philosophy leveraging Wealth Management tools and review portfolios for potential rebalancingEstablish a clear buy/sell discipline for selecting investment products consistent with client goals and risk tolerance for initiating and selling positionsImplement, manage and deliver via the creation of model portfolios and engage in ongoing performance analysis of various asset classes as well as client education Have deep knowledge of the various Merrill Lynch investment platforms (e.g., MLPA, UMA, PIA, MFA) as well as the available products and solutions and relevant contactsConduct ongoing research on markets and investments and follow disciplined process to monitor and respond to external events
Analyst - Investments (Exempt)
Develop and service certain or pre-identified client segments of an FA or FA Team client base (such as, related accounts and specific account segments).Profile, qualify, and develop prospective clients through the five Client Acquisition Strategies: Sourcing & Introductions, Intimate Events, Strategic Networking, and Referral Alliances, and Targeted Seminars.Support the overall Goals-Based Wealth Management process to certain client segments.Implement investment strategies and presentations and implement investment recommendations through presentationsGather additional assets from existing client base.Coordinate and introduce technological support to FA or FA team’s business through the development of portfolio analysis, spreadsheets, proposals, direct mail campaigns, etc.Provide specialized support to an FA through technical expertise in certain product areas (e.g. Corporate 401(K), Rule 144, Insurance, etc.).Provide marketing and organizational support to FA or FA team as needed.
Private Wealth Analyst - Business Development (Exempt)
Strategically analyze client base determining best ‘fit’ clients served by practice expertise as well as ensuring that clients not best served are introduced to strategic partnersCreate a value proposition that highlights core competency(s) which differentiate the practice from competitorsCreate and follow UHNW client acquisition plan, identify activities, specify and track progress towards quantifiable goals.Proactively generate leads and referrals through centers of influence, events, referral alliances, targeted seminars strategic networking, sourcing and introductionsManage UHNW client acquisition plan (include COIs, referrals, and consulting external to source potential clients)Define and market brand that permeates all practice activities and aligns the practice’s strategy, priorities and core competencies.
Private Wealth Analyst - Business Management (Exempt)
Create interim business plans with goals, objectives and repeatable processes that support the long-term vision of the practice, tracking progress against goals frequentlyDefine roles and responsibilities and align reward and incentives with those expectationsUnderstand core client groupings and corresponding profitabilityEstablish a transparent pricing policy that effectively captures value delivered to clientsDefine an infrastructure that supports knowledge sharing and collaborationUtilize information system(s) to support documentation and preservation (e.g., SalesForce, O drive, Outlook, etc.)
Private Wealth Analyst - Relationship Management (Exempt)
Define investment philosophy and strategy and clearly articulate an investment philosophy to include ‘investment management policy statement’ asset allocation strategies, portfolio construction, etc.
- Manage client portfolios using a fully documented investment philosophy that meets client objectives- evaluating and employing available investment selections that support client objectives and mitigate risk
Incorporates liquidity management and cash management as part of overall investments/ wealth management plan, proactively monitoring money in motion based on client’s desire for yield, security and/or convenienceDeliver solutions to meet clients’ specialized lending needs, including custom mortgage, specialty lending (art, yacht, aircraft, etc.) to meet their needsAssess portfolio performance and create customized client reports using available systems (e.g. CRC) to streamline data gathering that present financial information according to client preferences and objectives
Private Wealth Analyst - Investments (Exempt)
Define investment philosophy and strategy (e.g., asset allocation, strategic vs. tactical, active vs. passive) and clearly articulate approach to investing that is implemented through a repeatable processManage client portfolio’s using a fully documented investment philosophy leveraging Wealth Management tools and review portfolios for potential rebalancingEstablish a clear buy/sell discipline for selecting investment products consistent with client goals and risk tolerance for initiating and selling positionsImplement, manage and deliver via the creation of model portfolios and engage in ongoing performance analysis of various asset classes as well as client education Have deep knowledge of the various Merrill Lynch investment platforms (e.g., MLPA, UMA, PIA, MFA) as well as the available products and solutions and relevant contactsConduct ongoing research on markets and investments and follow disciplined process to monitor and respond to external events
Requirements:
Either Series 7 and 66 licenses or Series 7, 63, and 65 licensesAll state licenses in support of FA or FA Team’s client baseAll product licenses in support of FA or FA Team’s client baseObtain and/or maintain at least one firm approved designationSafe Act Registered

Shift:
1st shift (United States of America)

Hours Per Week:
40",New York,http://www.indeed.com//rc/clk?jk=b9d09493a0489a50&fccid=5bd99dfa21c8a490&vjs=3
9,Data Analyst Intern,Investopedia,"New York, NY","Job Description

Do you love data? Charts? Finding trends in numbers? The Investopedia Business Intelligence team is looking for an insightful and passionate Data Analyst intern to support our reporting efforts and help deliver actionable insights to several different departments. You need to be detail-oriented, and have the ability to pick up nuances of various types of datasets and databases. You will be assisting in both report maintenance report building, and should be inquisitive, thorough, and resourceful.
RESPONSIBILITIESPull ad-hoc data requests from our database using SQLDeliver clear written and/or verbal summaries of your analysis to the team, using charts and visualizations in Excel as neededHelp monitor and track KPIsKeep our Tableau reports fresh and up to date by adding new features/requests as needed and troubleshooting problems if they arise
- Help spot and investigate major changes in data - whether negative or positive - to understand causes of spikes in trendsSupport report building efforts by building SQL queries, QAing data, testing automation, and reporting bugs Qualifications

Intermediate knowledge of SQL is a must, with at least 1 year experience in an analytics role, or skill-level equivalentAdvanced Excel skills (pivot tables, vlookup, chart creation, advanced formulas, etc)Excellent oral and written communication skillsStrong time management: can set and deliver on expectations in the agreed upon amount of timeAbility to learn/explore new tools quicklyStrong critical thinkerExperience with Tableau and Google Analytics is a plus
Additional Information

About Investopedia:
Investopedia is the world’s largest financial education platform, serving over 30 million unique visitors each month. Since 1999, it has been our mission to empower the investing and financial community with the knowledge to make intelligent financial decisions. Since joining IAC in 2014, we have entered an investment period and are rapidly expanding our content while introducing new tools to further cater to our most sophisticated audiences.
We are serious about continuing to drive a company culture that is both visionary and fun, and in the market for amazing colleagues who share that mentality. We are daring, creative and endlessly curious and are looking for the same in our talent.
Here are a few reasons to work with us…
Because we were voted one of the Best Places to Work two years in a row (2016 & 2017) by Business Intelligence Group, Crains Best Places to Work and a Digiday award!
Because our employees love us on Glassdoor! (http://bit.ly/1VN8EgG)
Because we believe in SCOPE (http://bit.ly/INV_SCOPE)
Because you get to work with this guy! (David Siegel, CEO interview with Forbes) (http://onforb.es/1Qntovl)
And these guys and gals! (http://bit.ly/2chB0lX)
We care about our business and want you to know everything from goals to numbers to what’s for lunch. We have doubled in size in less than a year and we’re excited for growth, innovation, hard work and fun!
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",New York,http://www.indeed.com//rc/clk?jk=24c330d0b9eade46&fccid=96c583f5a8451aaa&vjs=3
10,Analyst,Spark Foundry,"New York, NY","Job Description

POSITION SUMMARY

The Analytics analyst is a key driver of insight and strategic thinking. The primary responsibility is to provide analytics-based strategic insights and directions to aid in the development of digital media & communications initiatives.
This position requires both strategic and tactical skill sets with an eye for numbers, intellectual curiosity, proficiency at problem solving, and a critical understanding of online media. The candidate must have a proven record of accomplishment in data-rich analyses, and be a team player. A “roll up the sleeves” approach is mandatory and a “get it done” attitude is necessary. Specific responsibilities include coordination between the research, analytics & media teams ensuring high quality analytical projects are effectively delivered.
 Successful candidates will be multi-dimensional ‘rising-stars’ who are able to employ complex problem solving skills, and are able to communicate these succinctly to a broad client and media stakeholder audience.

SPECIFIC RESPONSIBILITIES
 Work with the Senior Analyst and the media teams to create measurable online and offline campaign objectives and key performance indicators.
 Determine campaign data and tracking requirements; manage measurement systems for data capture and reporting.
 Work with the Senior Analyst to perform ongoing analysis using Excel, SPSS, SAS, etc. to ensure the timely adjustment/optimization of campaigns, along with other client-specific analyses (such as campaign analysis, customer segmentation and profiling and competitive market research).
 Build a body of knowledge on media, technology and strategy performance with the objective of informing future media decisions on schedules, budgets, partners and strategies.
REQUIRED SKILLS
 0-6 months+ within an analytics function in the marketing industry
 0-1 years experience working in online media (preferred)
 Experience in the analysis of large data sets to develop insights and learnings (data mining)
 Strong analytical skills with understanding of statistical techniques: hypothesis development, designing tests/experiments, analyzing data, drawing conclusions, and developing actionable recommendations
 Experience with statistical analysis software products and research design
 Knowledge of visual techniques for data analysis and presentation
 Knowledge of current issues within the online media industry, such as attribution, data collection, targeting and privacy are a good to have
 Must feel comfortable learning new systems and tools
 Knowledge of web measurement technologies Ad serving platforms (e.g. DART) and digital display campaign performance data
 Website analytics software (e.g. Adobe SiteCatalyst, Test & Target)
 Knowledge of syndicated media research & systems (Nielsen, comScore, MRI, Scarborough)
 Technical computer skills including Excel and PowerPoint
 Knowledge of statistical software packages (e.g. SPSS, SAS)
 Database analysis skills: MS Access/SQL
 Data visualization skills a plus, e.g. Tableau Qualifications

REQUIRED SKILLS
 0-6 months+ within an analytics function in the marketing industry
 0-1 years experience working in online media (preferred)
 Experience in the analysis of large data sets to develop insights and learnings (data mining)
 Strong analytical skills with understanding of statistical techniques: hypothesis development, designing tests/experiments, analyzing data, drawing conclusions, and developing actionable recommendations
 Experience with statistical analysis software products and research design
 Knowledge of visual techniques for data analysis and presentation
 Knowledge of current issues within the online media industry, such as attribution, data collection, targeting and privacy are a good to have
 Must feel comfortable learning new systems and tools
 Knowledge of web measurement technologies Ad serving platforms (e.g. DART) and digital display campaign performance data
 Website analytics software (e.g. Adobe SiteCatalyst, Test & Target)
 Knowledge of syndicated media research & systems (Nielsen, comScore, MRI, Scarborough)
 Technical computer skills including Excel and PowerPoint
 Knowledge of statistical software packages (e.g. SPSS, SAS)
 Database analysis skills: MS Access/SQL
 Data visualization skills a plus, e.g. Tableau
Additional Information

WHO WE ARE

Throughout our rich history, we’ve taken pride in our ongoing legacy of and commitment to constant evolution. It’s in our DNA to evolve.

By melding the spirit of a startup and the soul of a powerhouse across our business, we aim to bring modern heat to brands – the kind of heat that arises at the intersection of startup and powerhouse; of data and content; of art and science; of old and new.

Energy and innovation fuels our startup spirit, while the unrivaled marketplace clout, exclusive partnerships, and global practice capabilities we have at our disposal as a full-service Publicis Media agency deliver our powerhouse soul for our clients.

We hope you’ll take a few moments to learn more about us, and to begin thinking about how we might put “the power of plus” to work for you (http://www.sparkfoundryww.com/).

Spark Foundry is an Equal Opportunity Employer.
All your information will be kept confidential according to EEO guidelines.",New York,http://www.indeed.com//rc/clk?jk=a4fcccd1a8fb8146&fccid=65e65a4212c7f0fe&vjs=3
